course,final_score
AG60062- ,5.5
AG60063- ,3.15
AG60092- ,3.0
AG60096- ,0.5
AG60103- ,2.0
AG60124- ,1.0
AG60127- ,6.1875
AG60129- ,2.0
AG60151- ,3.0
AG60201- ,0.0
AG60203- ,2.333333333333333
AG60209- ,5.888888888888889
AG60301- ,3.25
AG60302- ,2.6666666666666665
AG61693- ,3.333333333333333
AG66001- ,5.0
AG66002- ,5.0
AG69008- ,3.0
AG69011- ,4.0
AG69014- ,3.391304347826087
AI42001-MACHINE LEARNING FOUNDATIONS AND APPLICATIONS ,18.234303976139973
AI58001-COMPREHENSIVE VIVA VOCE ,2.9444444444444446
AI60002- ,6.388613861386139
AI60003- ,12.157327586206897
AI60004- ,15.245173745173744
AI60006- ,3.5192307692307696
AI60007- ,3.153846153846154
AI60008- ,3.380952380952381
AI60201- ,3.1359223300970873
AI61002- ,12.239029892837
AI61003- ,9.569873260910997
AI61004- ,6.315789473684211
AI61005- ,19.56591644706936
AI61006- ,3.666666666666666
AI61009- ,9.241109530583214
AI67001- ,3.470588235294118
AI69002- ,4.027027027027027
AR10301-INTRODUCTION TO ARCHITECTURE ,7.342021276595744
AR10302-HISTORY OF ARCHITECTURE 1 ,7.8848881614839055
AR10304-BUILDING MATERIALS ,7.719114219114219
AR12002-BUILDING MATERIALS ,6.605263157894736
AR12003-INTRODUCTION TO ARCHITECTURE ,5.21111111111111
AR13201-BASIC DESIGN-I ,7.281060606060605
AR13202-BASIC DESIGN-II  AND MODELING ,6.028388278388279
AR13203-DESCRIPTIVE GEOMETRY-I ,6.171717171717171
AR13204-DESCRIPTIVE GEOMETRY-II ,6.6893939393939394
AR13205-GRAPHICS AND VISUAL COMMUNICATION ,5.55984555984556
AR13301-BASIC DESIGN 1 ,8.013829787234043
AR13302-BASIC DESIGN 2 ,6.394598155467721
AR13304-DESCRIPTIVE GEOMETRY 2 ,7.740274599542333
AR13305-GRAPHICS AND VISUAL COMMUNICATION ,6.088849135360763
AR13307-DESCRIPTIVE GEOMETRY 1 ,7.390217391304349
AR20201-HISTORY OF ARCHITECTURE II ,7.558260869565218
AR20202-WATER SUPPLY AND SANITATION ,2.75609756097561
AR20203-ADVANCED BUILDING MATERIALS AND COMPOSITES ,7.049712192569336
AR20205-BUILDING CONSTRUCTION ,5.980783444198078
AR20207-CLIMATOLOGY AND SOLAR ARCHITECTURE ,6.229442208165613
AR22001-ADVANCED BUILDING MATERIALS AND COMPOSITES ,6.870454545454545
AR22003-CLIMATOLOGY & SOLAR ARCHITECTURE ,7.580645161290322
AR22004-WATER SUPPLY AND SANITATION ,4.940092165898617
AR22005-HISTORY OF ARCHITECTURE-I ,7.725
AR22006-HISTORY OF ARCHITECTURE-II ,8.32121212121212
AR22007-ENVIRONMENTAL STUDIES ,6.571428571428571
AR22008-ERGONOMICS AND  PRODUCT DESIGN ,3.5
AR23201-ARCHITECTURAL DESIGN I AND FIELD STUDY ,7.6037878787878785
AR23202-ARCHITECTURAL DESIGN II AND FIELD STUDY ,6.7270471464019845
AR23203-BUILDING CONSTRUCTION - I ,7.63125
AR23204-BUILDING CONSTRUCTION II ,6.883116883116883
"AR23205-PHOTOGRAPHY, ART & ADVANCED VISUAL COMMUNICATION ",7.846969696969698
AR23206-COMPUTER AIDED DESIGN AND SIMULATION ,6.9371212121212125
AR23301-ARCHITECTURAL DESIGN I ,6.648829431438127
AR23302-ARCHITECTURAL DESIGN II ,3.590909090909091
AR23303-COMPUTER AIDED DESIGN AND SIMULATION ,7.968827313211282
AR23304-INDIGENOUS TECHNOLOGIES AND INNOVATIONS WORKSHOP ,3.255813953488372
AR28202-FIELD TRIP I ,3.4893617021276593
AR29201-BUILDING CONSTRUCTION SESSIONAL I ,7.0060060060060065
AR29202-MATERIAL TESTING LABORATORY ,3.857142857142857
AR29204-BUILDING CONSTRUCTION SESSIONAL II ,3.380952380952381
AR30201-DEVELOPMENT OF CONTEMPORARY ARCHITECTURE 1 ,2.923076923076923
"AR30203-SPECIFICATION, ESTIMATION AND COSTING ",2.5897435897435894
AR32001-DEVELOPMENT OF CONTEMPORARY ARCHITECTURE ,6.612500000000001
AR32002-ESTIMATION AND COSTING ,7.262499999999999
AR32003-SPECIFICATION ,7.99090909090909
AR32004-HOUSING AND COMMUNITY PLANNING ,6.793939393939394
AR32008-ENERGY EFFICIENT DESIGN ,7.2834799608993155
AR32201-WORKING DRAWING I ,3.5217391304347827
AR33201-ARCHITECTURAL DESIGN III & FIELD STUDY ,7.054545454545455
AR33202-ARCHITECTURAL DESIGN IV AND FIELD STUDY ,7.5
AR33203-ARCHITECTURAL DETAILING ,7.1812499999999995
AR33204-INTERIOR DESIGN ,7.453787878787878
AR33206-WORKING DRAWING ,6.788825757575758
AR34201-ARCHITECTURAL DESIGN III ,3.1999999999999997
AR40023-BUILDING ACOUSTICS ,6.440789473684211
AR40025-TALL BUILDING AND SERVICES ,2.526315789473684
AR42001-LANDSCAPE DESIGN & SITE PLANNING ,7.656565656565657
AR42005-REAL ESTATE  VALUATION ,3.6842105263157894
AR43201-ARCHITECTURAL DESIGN - V & FIELD STUDY ,6.9561403508771935
AR43203-MATERIAL TESTING LAB ,7.975
AR48008-OFFICE TRAINING ,3.28125
AR48012-CRITICAL APPRAISAL ,3.0322580645161286
AR48014-DOCUMENTATION OF INNOVATIVE DETAILS ,3.15625
AR48016-FIELD OBSERVATION ,3.5
AR48018-SITE SUPERVISION ,2.8928571428571423
AR51013-ENERGY AND ENVIRONMENTAL SYSTEMS FOR GREEN BUILDINGS ,4.8
AR52001-CONSTRUCTION PROJECT MANAGEMENT ,3.9090909090909087
AR52003-PRINCIPLES OF TOWN PLANNING & URBAN DESIGN ,3.0666666666666664
AR52006-BARRIER FREE ENVIRONMENT ,7.428921568627451
AR53201-ARCHITECTURAL DESIGN - VI & FIELD STUDY ,3.25
AR57101-PROJECT - I(THESIS) ,3.625
AT30001-FUNDAMENTALS OF EMBEDDED CONTROL AND SOFTWARE ,13.397490958408678
AT60001- ,12.75
AT60002- ,7.2936507936507935
AT60003- ,12.2
AT60004- ,9.666666666666666
AT60005- ,10.538461538461538
AT60006- ,7.137499999999999
AT60008- ,7.2
AT60201- ,3.333333333333333
AT60203- ,4.0
AT60205- ,3.105263157894737
AT67005- ,13.285714285714285
BM40002-INTRODUCTION TO FINANCIAL MANAGEMENT ,9.939916405433646
BM40004-INTRODUCTION TO HUMAN BEHAVIOUR IN ORGANISATION ,16.3304774535809
BM40006-FINANCIAL RISK MODELING ,7.1
BM40009-MARKETING MANAGEMENT ,2.8421052631578947
BM40012-DERIVATIVES AND RISK MANAGEMENT ,3.71875
BM49002-FINANCIAL ANALYTICS ,8.444444444444445
BM51001-INVESTMENT MANAGEMENT ,11.696969696969695
BM51002-MARKET MICROSTRUCTURE ,1.0
BM59001-MODELING AND SIMULATION OF FINANCIAL SYSTEMS ,6.925925925925926
BM60023- ,12.203133025166924
BM60112- ,8.17051282051282
BM60203- ,2.0
BM63006- ,2.0
BM63015- ,0.0
BM63020- ,5.166666666666666
BM63033- ,2.9999999999999996
BM63059- ,5.166666666666666
BM63083- ,3.0
BM63085- ,3.153846153846154
BM63088- ,5.0
BM63089- ,3.125
BM63097- ,1.0
BM63098- ,3.0
BM70003- ,3.0
BS10003-SCIENCE OF LIVING SYSTEMS ,20.63534367431049
BS20001-SCIENCE OF LIVING SYSTEM ,21.034604567347007
BS41004-ADVANCES IN PROTEIN STRUCTURE AND FUNCTION ,4.5
BS60003- ,11.96923076923077
BS60005- ,9.333333333333332
BS61001- ,3.5
BT20103-MICROBIOLOGY ,6.501970055161544
BT20201-INTRODUCTION TO BIOTECHNOLOGY ,5.903436988543371
BT20202-PLANT TISSUE AND CELL CULTURE ,3.4606741573033712
BT20203-BIOCHEMISTRY ,6.228020875150541
BT20204-CELL AND MOLECULAR BIOLOGY ,2.4912280701754383
BT20205-MICROBIOLOGY ,5.556944444444444
BT20207-BIOCHEMICAL REACTION ENGINEERING AND BIOENERGETICS ,5.87202380952381
BT21002-CELL & MOLECULAR BIOLOGY ,6.230769230769231
BT21101-BIOCHEMISTRY ,6.282051282051283
BT21105-BIOCHEM. REACTION ENGG. AND BIOENERGETICS ,6.753799392097264
BT29001-BIOCHEMISTRY LABORATORY ,7.969551282051283
BT29002-CELL & MOLECULAR BIOLOGY LABORATORY ,7.625
BT29003-MICROBIOLOGY LABORATORY ,7.934523809523809
BT29202-PLANT TISSUE AND CELL CULTURE LABORATORY ,3.0625
BT29203-BIOCHEMISTRY LABORATORY ,7.578305084745764
BT29204-CELL AND MOLECULAR BIOLOGY LABORATORY ,3.489795918367347
BT29205-MICROBIOLOGY LABORATORY ,7.742156862745098
BT29207-BIOCHEMICAL ENGGINEERING LABORATORY ,7.137254901960784
BT30201-BIOPROCESS TECHNOLOGY ,2.5681818181818183
BT31006-BIOINFORMATICS ,6.960683760683761
BT31009-GENETICS ,6.296296296296296
BT31010-PLANT CELL TISSUE CULTURE ,6.855155482815057
BT31011-ENVIRONMENTAL BIOTECHNOLOGY ,6.625603864734299
BT31014-IMMUNOLOGY ,7.379403794037939
BT31201-GENETICS AND GENETIC ENGINEERING ,4.651162790697675
BT39001-ANALYTICAL BIOCHEMISTRY LABORATORY ,7.473601260835302
BT39003-BIOCHEMICAL ENGGINEERING LABORATORY ,7.898148148148149
BT39006-PLANT CELL & TISSUE CULTURE LABORATORY ,8.054373522458627
BT39008-BIOINFORMATICS LABORATORY ,7.62020905923345
BT39201-ANALYTICAL BIOCHEMISTRY LABORATORY ,3.88235294117647
BT40009-BIOPROCESS TECHNOLOGY ,5.957264957264957
BT41012-DOWNSTREAM PROCESSING ,3.882352941176471
BT41014-METABOLIC ENGINEERING ,2.3
BT41022-NEUROPHYSIOLOGY ,3.4800000000000004
BT47005-PROJECT - PART 1 ,4.0
BT47006-PROJECT - PART 2 ,3.8571428571428568
BT47007-PROJECT-I ,7.588235294117647
